tweet_id_customer,author_id_customer,text_customer,text_brand,language,primary_intent,is_ambiguous,is_multi_issue,resolution_action,evidence_available,annotator_confidence,annotation_notes,multi_issue_flag,ambiguous_flag,difficulty,Unnamed: 15,priority_score,human_intent,human_is_ambiguous,human_is_multi_issue,human_notes,kmeans_label,broad_cluster,multi_issue,refined_intent,assignment_method
2420307,287928,"Even with Amazon prime, I can't view the??photos (or play music) which are in fact stored in amazon cloud on my Fire TV. Come on @115850 .","@287928 We don't have this feature at the moment. Nevertheless, I'd be sure to pass along your feedback internally for a review. 1/2 ^KH",en,Other / Human Review,YES,YES,PRIME_SUPPORT,NONE,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Multiple issue families detected; primary intent selected provisionally. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,YES,YES,Ambiguous,,4.0,,,,,,,,,
511720,237643,@AmazonHelp I just cancelled an order but is it possible to have it reinstated.  My account is __email__.,"@237643 Great question! If you've canceled your order it can't be reinstated. However, you can reorder it if you'd still like to have it. ^AC",en,Other / Human Review,YES,YES,ACCOUNT_ACCESS_VERIFICATION,STRONG,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Multiple issue families detected; primary intent selected provisionally. Ambiguous/weak signal; review against annotation guide.,YES,YES,Ambiguous,,4.0,,,,,,,,,
1519861,472509,@AmazonHelp Luckily it was just a blanket inside. There was no receipt though ??,@472509 Who was the carrier listed for this order? These details can be found here: https://t.co/Y5jpI9gRhE ^WM,en,Other / Human Review,YES,NO,OTHER,STRONG,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide.,NO,YES,Ambiguous,,3.0,,,,,,,,,
164894,154220,@AmazonHelp T? chorando por essa trilogia dos espinhos maravilhosa aaaaaaaaa https://t.co/bBNoEnZY8p,@154220 O Grande Gatsby ? demais! Qual de todos voc? vai ler de primeiro ste? ^JJ,pt,Other / Human Review,YES,NO,PRIME_SUPPORT,NONE,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
2468667,706268,@AmazonHelp Already raised complaint on your site.let me know what details you want,@706268 I request you to kindly fill in your details in the link provided earlier for further assistance. ^PJ,en,Other / Human Review,YES,NO,OTHER,NONE,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
1332118,430768,"@AmazonHelp I don't think you are understanding Me . I click on the link , it says select order , I select order . It says shipped . It does not say","@430768 From the sign in page, skip sign in. Step 1 (Prime), Step 2 (both non-order questions), then Step 3, contact us. ^EM",en,Other / Human Review,YES,NO,ACCOUNT_ACCESS_VERIFICATION,NONE,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
570771,254040,"@AmazonHelp @115851 Material sending back that too Prepaid, which kind of service is this.",@254040 Sorry that the orders are being returned. Looks like something went wrong. Please confirm if this was reported to our support team? You may connect with them using the link that was shared earlier. ^KK,en,Other / Human Review,YES,NO,RETURN_EXCHANGE,STRONG,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide.,NO,YES,Ambiguous,,3.0,,,,,,,,,
155224,151599,"@AmazonHelp No idea, it?? Skinner maintenance 15kg dog food. It?? a prime delivery",@151599 What was the estimated delivery date given to you in the confirmation email? You can also find more info about One-day delivery here: https://t.co/HbPPA3GUSP ^MA,en,Order & Delivery Issues,NO,YES,TRACKING_STATUS,STRONG,MEDIUM,Provisional label from heuristic customer-problem analysis; requires human review before use as gold. Multiple issue families detected; primary intent selected provisionally.,YES,NO,Hard,,3.0,,,,,,,,,
2116144,623790,@AmazonHelp Apparently I am not receiving my items today. I have a business account. You are directly affecting my business.,"@623790 I'm sorry to hear about this delay, have you checked the latest tracking info for further updates?  https://t.co/aaDyEz1VgE ^MI",en,Other / Human Review,YES,NO,TRACKING_STATUS,PARTIAL,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
21063,120613,"@AmazonHelp I have not recieved a mail. I cannot reply to a mythical mail, right?",@120613 Sorry for the inconvenience. You may check the email from our team here: https://t.co/NTkrxpsbHJ if you are unable (1/2) ^KA,en,Other / Human Review,YES,NO,OTHER,STRONG,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide.,NO,YES,Ambiguous,,3.0,,,,,,,,,
236613,172352,@AmazonHelp Tge above link is useless#i want assistance#purchased electrnc appliaces#not happy# need assistance# shw sme care for ur cstmrs# disappntd,@172352 I?? sorry about that. I?? like to assist you. Please fill this form: https://t.co/beaaDm0muc and I??l contact you shortly. ^NK,en,Other / Human Review,YES,NO,TECHNICAL_TROUBLESHOOTING,PARTIAL,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
2745964,768994,@AmazonHelp Yes!!!! In a major way. Today is the delivery day... between the 20th and 24th and it has not even been sent to shipment. Plus where?? the point in having prime if I don?? get the agreed standard shipping (4-5/5-7days)????,"@768994 I completely understand your concern, Gabrielle! Prime Two-Day Shipping refers to transit time after the item is ready to ship. Some items have additional processing, we include that into the date. Please let us know if we miss the delivery window provided! ^VB",en,Order & Delivery Issues,NO,YES,PRIME_SUPPORT,PARTIAL,MEDIUM,Provisional label from heuristic customer-problem analysis; requires human review before use as gold. Multiple issue families detected; primary intent selected provisionally. Historical response is generic or incomplete for strong resolution evidence.,YES,NO,Hard,,3.0,,,,,,,,,
1157232,392229,@115830 why does my firestick keep losing connection? I'm seriously thinking about binning it and getting a chromecast instead! #annoying,@392229 I'm sorry for the trouble! Have you tried restarting the router/modem? ^MH,en,Other / Human Review,YES,NO,TECHNICAL_TROUBLESHOOTING,PARTIAL,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
2383312,120538,@AmazonHelp Time to say Bye Bye to amazon they don't care about anyone,"@120538 I'm sorry your concern hasn't been resolved, Shashank. Certainly not the experience we want our customers to have. Kindly share your details here: https://t.co/beaaDm0muc we'll reach out to you soon. ^AP",en,Other / Human Review,YES,NO,CONTACT_ROUTING,PARTIAL,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
504918,235760,"That's a first, ordered Gran Turismo Sport from France, factory sealed, day one edition....literally empty box, no disc, no code, no ad inlays. Again, sealed and new. Does that happen a lot @158307 @120533 @146132 ??","@235760 Hello, I'm sorry for the inconvenience, could you please contact our Customer Service to check this directly : https://t.co/qzuu0dgDXz ^MH",en,Other / Human Review,YES,NO,TECHNICAL_TROUBLESHOOTING,PARTIAL,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
2186759,640401,@AmazonHelp I received an email from amazon today with a promo code for ?15 off a firetvstick.I have ordered it but it?? only applied ?10off,@640401 Sorry to hear that. Please contact us directly here: https://t.co/JzP7hlA23B and we can look into it. ^PK,en,Other / Human Review,YES,NO,DELIVERY_INVESTIGATION,PARTIAL,LOW,Provisional assignment reason: weak_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
2124931,625793,"@115850 Still my issue is not solved , shame on Amazon and it's fake promises.","@625793 Sorry for the stretch. I would like to help you, please share your details from here: https://t.co/beaaDm0muc and we'll sort this for you. ^SC",en,Other / Human Review,YES,NO,CONTACT_ROUTING,PARTIAL,LOW,Provisional assignment reason: no_signal. Requires human review before gold evaluation. Ambiguous/weak signal; review against annotation guide. Historical response is generic or incomplete for strong resolution evidence.,NO,YES,Ambiguous,,3.0,,,,,,,,,
